id,title,author,publisher,categories,cost,shipping_cost,availability,copies,bookstores,ratings
1,Book 1,Author 1,Publisher 1,['Category C'],11.0,3.5,True,6,[3],"[4, 4]"
2,Book 2,Author 2,Publisher 2,"['Category A', 'Category B']",12.0,4.5,True,7,"[1, 2]","[4, 4]"
3,Book 3,Author 3,Publisher 0,['Category C'],13.0,2.5,True,8,[3],"[5, 4, 3]"
4,Book 4,Author 4,Publisher 1,"['Category A', 'Category B']",14.0,3.5,False,9,"[1, 2]","[4, 4]"
5,Book 5,Author 0,Publisher 2,['Category C'],15.0,4.5,True,10,[3],"[4, 4]"
6,Book 6,Author 1,Publisher 0,"['Category A', 'Category B']",16.0,2.5,True,11,"[1, 2]","[5, 4, 3]"
7,Book 7,Author 2,Publisher 1,['Category C'],17.0,3.5,True,12,[3],"[4, 4]"
8,Book 8,Author 3,Publisher 2,"['Category A', 'Category B']",18.0,4.5,False,13,"[1, 2]","[4, 4]"
9,Book 9,Author 4,Publisher 0,['Category C'],19.0,2.5,True,14,[3],"[5, 4, 3]"
10,Book 10,Author 0,Publisher 1,"['Category A', 'Category B']",20.0,3.5,True,15,"[1, 2]","[4, 4]"
11,Book 11,Author 1,Publisher 2,['Category C'],21.0,4.5,True,16,[3],"[4, 4]"
12,Book 12,Author 2,Publisher 0,"['Category A', 'Category B']",22.0,2.5,False,17,"[1, 2]","[5, 4, 3]"
13,Book 13,Author 3,Publisher 1,['Category C'],23.0,3.5,True,18,[3],"[4, 4]"
14,Book 14,Author 4,Publisher 2,"['Category A', 'Category B']",24.0,4.5,True,19,"[1, 2]","[4, 4]"
15,Book 15,Author 0,Publisher 0,['Category C'],25.0,2.5,True,20,[3],"[5, 4, 3]"
200,Imported Book 200,Author 2,Publisher 0,"['Fiction', 'Adventure']",220.0,3.5,True,210,"[1, 2]","[3, 4]"
201,Imported Book 201,Author 0,Publisher 1,['Science'],221.0,4.5,False,211,"[2, 3]","[4, 5]"
202,Imported Book 202,Author 1,Publisher 0,"['Fiction', 'Adventure']",222.0,3.5,True,212,"[1, 2]","[3, 4]"
203,Imported Book 203,Author 2,Publisher 1,['Science'],223.0,4.5,False,213,"[2, 3]","[3, 4]"
204,Imported Book 204,Author 0,Publisher 0,"['Fiction', 'Adventure']",224.0,3.5,True,214,"[1, 2]","[4, 5]"
205,Book100,Tsim,Tsim,"['A', 'B']",100.0,100.0,True,20,[],[]
