id,title,author,publisher,categories,cost,shipping_cost,availability,copies,bookstores,ratings
1,Sample Book 1,Author 1,Publisher 1,['Science'],16.0,4.0,True,6,"[2, 3]","[3, 4]"
2,Sample Book 2,Author 2,Publisher 2,"['Literature', 'Drama']",17.0,3.0,True,7,"[1, 2]","[3, 4]"
3,Sample Book 3,Author 3,Publisher 0,['Science'],18.0,4.0,False,8,"[2, 3]","[5, 4, 4]"
4,Sample Book 4,Author 0,Publisher 1,"['Literature', 'Drama']",19.0,3.0,True,9,"[1, 2]","[3, 4]"
5,Sample Book 5,Author 1,Publisher 2,['Science'],20.0,4.0,True,10,"[2, 3]","[3, 4]"
6,Sample Book 6,Author 2,Publisher 0,"['Literature', 'Drama']",21.0,3.0,False,11,"[1, 2]","[5, 4, 4]"
7,Sample Book 7,Author 3,Publisher 1,['Science'],22.0,4.0,True,12,"[2, 3]","[3, 4]"
8,Sample Book 8,Author 0,Publisher 2,"['Literature', 'Drama']",23.0,3.0,True,13,"[1, 2]","[3, 4]"
9,Sample Book 9,Author 1,Publisher 0,['Science'],24.0,4.0,False,14,"[2, 3]","[5, 4, 4]"
10,Sample Book 10,Author 2,Publisher 1,"['Literature', 'Drama']",25.0,3.0,True,15,"[1, 2]","[3, 4]"
